dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
insects_abrupt,sgd,fixed_schedule,3,0,12739,12739,0,1000,NUDGE,False,0.19527267174912455,False,nan,0.15476190476190474,0.2859962515134929,0.2859962515134929,800,1,0,800,800,204,params,False,0,1,0.04051076698721981,0.925
insects_abrupt,sgd,fixed_schedule,3,1,15939,15939,0,1000,NUDGE,False,0.29,False,nan,0.14773039650642866,0.26914325150349994,0.26914325150349994,800,1,0,800,1600,204,params,False,0,2,0.14226960349357132,0.815
insects_abrupt,sgd,fixed_schedule,3,2,17923,17923,0,1000,REBUILD,False,0.21856185002736728,False,nan,0.1965547974675764,,0.2319469201822143,129000,129,0,1000,130600,204,params,False,0,0,0.02200705255979088,
insects_abrupt,sgd,fixed_schedule,3,3,19747,19747,0,1000,NUDGE,False,0.06696428571428571,False,nan,0.19664902998236333,0.2096221679555013,0.2096221679555013,800,1,0,800,131400,204,params,False,0,1,-0.12968474426807763,0.965
insects_abrupt,sgd,fixed_schedule,3,4,28131,28131,0,1000,NUDGE,False,0.21915713809544513,False,nan,0.1388888888888889,0.042105263157894736,0.042105263157894736,800,1,0,800,132200,204,params,False,0,2,0.08026824920655623,0.78
insects_abrupt,sgd,fixed_schedule,3,5,33347,33347,0,1000,REBUILD,False,0.07894736842105263,False,nan,0.2617050298380222,,0.16742424242424245,88000,88,0,1000,220200,204,params,False,0,0,-0.18275766141696956,
insects_abrupt,sgd,fixed_schedule,3,6,38275,38275,0,1000,NUDGE,False,0.21500902992776058,False,nan,0.20426487093153758,0.22035742035742034,0.22035742035742034,800,1,0,800,221000,204,params,False,0,1,0.010744158996222997,0.62
insects_abrupt,sgd,fixed_schedule,3,7,38787,38787,0,512,NUDGE,False,0.0,False,nan,0.20151515151515154,0.16666666666666666,0.16666666666666666,409,1,0,409,221409,204,params,False,0,2,-0.20151515151515154,1.0
insects_abrupt,sgd,fixed_schedule,3,8,46947,46947,0,1000,REBUILD,False,0.16666666666666666,False,nan,0.16666666666666666,,0.35302519118308595,108000,108,0,1000,329409,204,params,False,0,0,0.0,
insects_abrupt,sgd,fixed_schedule,3,9,52099,52099,0,1000,NUDGE,False,0.26528795413993395,False,nan,0.3262200228928781,0.3772753287361456,0.3772753287361456,800,1,0,800,330209,204,params,False,0,1,-0.06093206875294416,0.475
