dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
insects_abrupt,sgd,fixed_schedule,4,0,12707,12707,0,1000,NUDGE,False,0.20494691355051672,False,nan,0.17793040293040294,0.20356838387528922,0.20356838387528922,800,1,0,800,800,204,params,False,0,1,0.027016510620113787,0.945,0.7670753064798599,0.828125,error_up
insects_abrupt,sgd,fixed_schedule,4,1,14403,14403,0,1000,NUDGE,False,0.0,False,nan,0.2307631160572337,0.2,0.2,800,1,0,800,1600,204,params,False,0,2,-0.2307631160572337,0.995,0.9887905604719764,0.9151785714285714,error_down
insects_abrupt,sgd,fixed_schedule,4,2,17891,17891,0,1000,REBUILD,False,0.0,False,nan,0.16666666666666666,,0.17777777777777778,106000,106,0,1000,107600,204,params,False,0,0,-0.16666666666666666,,0.9922569544020649,0.7767857142857143,error_down
insects_abrupt,sgd,fixed_schedule,4,3,19555,19555,0,1000,NUDGE,False,0.0,False,nan,0.2,0.2751115075825156,0.2751115075825156,800,1,0,800,108400,204,params,False,0,1,-0.2,1.0,0.9933854479855683,0.9828125,error_down
insects_abrupt,sgd,fixed_schedule,4,4,28259,28259,0,1000,NUDGE,False,0.21391509433962264,False,nan,0.2403846153846154,0.07158119658119658,0.07158119658119658,800,1,0,800,109200,204,params,False,0,2,-0.026469521044992755,0.655,0.7268757899574859,0.7303385416666667,error_up
insects_abrupt,sgd,fixed_schedule,4,5,33315,33315,0,1000,REBUILD,False,0.0803448275862069,False,nan,0.23500469762152001,,0.18990971803817716,105000,105,0,1000,214200,204,params,False,0,0,-0.15465987003531312,,0.96162215628091,0.9275568181818182,error_down
insects_abrupt,sgd,fixed_schedule,4,6,38211,38211,0,1000,NUDGE,False,0.2357050032488629,False,nan,0.25745601430532933,0.23071905263686085,0.23071905263686085,800,1,0,800,215000,204,params,False,0,1,-0.02175101105646643,0.675,0.7875383043922369,0.7525,error_down
insects_abrupt,sgd,fixed_schedule,4,7,39491,39491,0,1000,NUDGE,False,0.1,False,nan,0.22114462580758834,0.1949318918551599,0.1949318918551599,800,1,0,800,215800,204,params,False,0,2,-0.12114462580758834,0.61,0.8373729476153244,0.818359375,error_down
insects_abrupt,sgd,fixed_schedule,4,8,46851,46851,0,1000,REBUILD,False,0.17209249084249087,False,nan,0.2582684717659251,,0.2553763440860215,143000,143,0,1000,358800,204,params,False,0,0,-0.08617598092343423,,0.849164288626172,0.8273026315789473,error_down
insects_abrupt,sgd,fixed_schedule,4,9,52227,52227,0,1000,NUDGE,False,0.12162162162162163,False,nan,0.0,0.015,0.015,800,1,0,800,359600,204,params,False,0,1,0.12162162162162163,0.91,0.867906976744186,0.8741319444444444,error_up
