dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
insects_abrupt,rf,fixed_schedule,2,0,12643,12643,0,1000,NUDGE,False,0.7013926376120261,False,nan,0.6821773912925028,0.6970191812357127,0.6970191812357127,4000,5,5,800,4000,100,trees,False,0,1,0.019215246319523316,0.025,0.224351134665036,0.625,error_up
insects_abrupt,rf,fixed_schedule,2,1,17923,17923,0,1000,NUDGE,False,0.045,False,nan,0.15604575163398693,0.15604575163398693,0.15604575163398693,4000,5,5,800,8000,100,trees,False,0,2,-0.11104575163398693,0.01,0.9431710551240765,0.8701923076923077,error_down
insects_abrupt,rf,fixed_schedule,2,2,19491,19491,0,1000,REBUILD,False,0.4715909090909091,False,nan,0.463768115942029,,1.0,100000,100,100,1000,108000,100,trees,True,4,0,0.007822793148880125,,0.5500957243139758,0.725,error_up
insects_abrupt,rf,fixed_schedule,2,3,28163,28163,0,1000,NUDGE,False,0.24709595959595956,False,nan,0.22857142857142856,0.24285714285714285,0.24285714285714285,4000,5,5,800,112000,100,trees,False,0,1,0.018524531024531,0.015,0.6706262253488641,0.7048611111111112,error_up
insects_abrupt,rf,fixed_schedule,2,4,33187,33187,0,1000,NUDGE,False,0.20689655172413793,False,nan,0.22727272727272727,0.22727272727272727,0.22727272727272727,4000,5,5,800,116000,100,trees,True,2,2,-0.020376175548589337,0.0,0.8873183356559825,0.425,error_down
insects_abrupt,rf,fixed_schedule,2,5,33315,33315,0,128,REBUILD,False,0.20689655172413793,True,nan,0.3333333333333333,,1.0,12800,100,100,128,128800,100,trees,False,0,0,-0.1264367816091954,,0.4645669291338583,0.5178571428571429,error_up
insects_abrupt,rf,fixed_schedule,2,6,38851,38851,0,1000,NUDGE,False,0.5344708670902062,False,nan,0.3041141090710056,0.29400065930238345,0.29400065930238345,4000,5,5,800,132800,100,trees,False,0,1,0.23035675801920058,0.03,0.4655826558265583,0.5264423076923077,error_up
insects_abrupt,rf,fixed_schedule,2,7,39811,39811,0,960,NUDGE,False,0.25085622342971564,False,nan,0.4481801726538569,0.4553926482873852,0.4553926482873852,3840,5,5,768,136640,100,trees,False,0,2,-0.19732394922414126,0.015625,0.6652763295099061,0.65625,error_down
insects_abrupt,rf,fixed_schedule,2,8,46883,46883,0,1000,REBUILD,False,0.3766141717881183,False,nan,0.32307129263651,,1.0,100000,100,100,1000,236640,100,trees,False,0,0,0.05354287915160827,,0.5678121906378164,0.6909722222222222,error_up
insects_abrupt,rf,fixed_schedule,2,9,52259,52259,0,1000,NUDGE,False,0.48777180266541964,False,nan,0.305,0.28,0.28,4000,5,5,800,240640,100,trees,True,2,1,0.18277180266541965,0.035,0.5237209302325582,0.5280330882352942,error_up
